,Team,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers,ACC (Atlantic Division),ACC (Coastal Division),American (East Division),American (West Division),Big 12,Big Ten (East Division),Big Ten (West Division),CUSA (East Division),CUSA (West Division),Ind,MAC (East Division),MAC (West Division),MWC (Mountain Division),MWC (West Division),Pac-12 (North Division),Pac-12 (South Division),SEC (East Division),SEC (West Division),Sun Belt
G1T1,Fresno State,11,0.8461538461538461,12.36,-3.0,16.5,31.9,51.7,189.4,1.1,321.6,4.7,17.8,5.0,1.9,34.87692307692308,13.646153846153847,22.0,31.58461538461539,0.6965416463711642,274.1076923076924,2.046153846153846,35.89230769230769,146.8153846153846,4.090441491641664,-17.630769230769232,67.0153846153846,421.03076923076935,6.282598714416897,20.261538461538464,5.261538461538461,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G1T2,Arizona State,7,0.5833333333333334,5.39,1.7,18.9,31.4,60.3,233.8,1.5,405.4,5.7,22.5,5.8,1.6,30.725,25.04166666666667,19.0,30.45833333333333,0.6238030095759234,241.34166666666667,1.5416666666666667,39.016666666666666,185.88333333333333,4.7642033319094415,-11.5,68.89166666666667,427.225,6.201403169227048,21.79166666666667,6.3583333333333325,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G2T1,Georgia Southern,9,0.75,3.72,-5.13,18.4,29.7,61.9,216.5,1.1,357.2,5.5,18.7,5.5,2.1,31.125,21.54166666666667,5.5166666666666675,9.166666666666666,0.6018181818181818,82.83333333333333,0.8666666666666667,52.60833333333334,261.45,4.969744970695389,-24.65833333333333,57.52500000000001,344.28333333333336,5.9849340866290035,16.7,4.758333333333334,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G2T2,Eastern Michigan,7,0.5833333333333334,-1.15,-4.84,14.5,26.3,55.3,150.2,0.9,354.6,5.0,18.8,7.1,1.8,27.5,22.025,19.058333333333334,30.11666666666667,0.6328168234643055,228.59166666666667,1.4833333333333334,38.78333333333333,150.19166666666666,3.872582724538032,-6.133333333333333,69.06666666666666,378.78333333333336,5.484314671814673,18.65833333333333,7.574999999999998,1.1916666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3T1,Tulane,6,0.5,-0.85,-2.16,18.4,35.2,52.3,258.2,1.9,406.8,5.6,21.5,6.3,1.4,25.61666666666667,27.79166666666667,11.758333333333333,23.525,0.4998228834573149,186.275,1.2166666666666666,48.55,208.84166666666667,4.301579128046687,-25.7,67.8,395.11666666666673,5.8276794493608675,17.925,7.283333333333332,1.4583333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3T2,Louisiana,7,0.5384615384615384,-2.25,-2.11,15.4,24.9,62.1,216.8,1.6,435.9,6.3,22.6,4.8,1.1,32.5076923076923,33.67692307692308,16.06153846153846,24.892307692307693,0.6452410383189123,208.03076923076924,1.969230769230769,40.50769230769232,229.1692307692308,5.657424990505128,-4.092307692307692,65.0153846153846,437.19999999999993,6.7245622337908175,20.369230769230768,5.200000000000001,1.2153846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G4T1,Utah State,10,0.8333333333333334,9.63,-5.83,18.8,35.0,53.6,236.5,1.4,379.6,5.0,19.5,7.1,2.5,47.125,22.966666666666665,23.49166666666667,35.2,0.6673768939393941,288.8,2.375,36.28333333333333,205.01666666666668,5.650436380339918,-13.383333333333333,71.73333333333333,493.81666666666666,6.884061338289963,23.05,7.866666666666666,1.4333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G4T2,North Texas,9,0.75,0.65,-8.35,19.1,36.0,53.0,254.8,1.4,374.6,5.3,18.8,5.8,1.7,36.4,21.88333333333333,25.341666666666665,39.2,0.6464710884353742,316.28333333333336,2.3000000000000003,35.625,156.61666666666667,4.396257309941522,-7.941666666666666,74.24166666666666,472.79166666666674,6.368279268155797,25.175,4.6000000000000005,1.0750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5T1,Alabama-Birmingham,10,0.7692307692307693,2.05,-6.38,15.3,28.1,54.3,181.0,1.0,299.2,4.8,17.3,4.5,1.4,29.353846153846153,17.307692307692307,13.338461538461539,23.93846153846154,0.5571979434447301,191.4307692307692,1.0923076923076922,45.47692307692307,208.9692307692308,4.5950608930987835,-5.446153846153847,68.87692307692306,400.4,5.813267813267814,21.507692307692302,6.553846153846153,1.4307692307692306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5T2,Northern Illinois,8,0.6153846153846154,-1.93,-0.93,19.4,34.2,56.8,247.8,1.2,357.0,4.8,20.4,5.9,1.4,20.646153846153847,21.49230769230769,16.507692307692302,28.56923076923077,0.5778136779752288,153.58461538461538,1.1846153846153848,43.646153846153844,171.43076923076922,3.9277405710257316,-7.015384615384615,71.16923076923077,325.0153846153846,4.566796368352789,19.16923076923077,6.6923076923076925,1.3538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6T1,Ohio,8,0.6666666666666666,4.51,-5.95,19.7,32.5,60.7,253.8,1.8,390.8,6.1,19.7,7.5,2.4,41.19166666666667,26.65,14.55,24.05833333333333,0.6047800484932455,208.38333333333333,1.975,44.425,262.34166666666664,5.905271056087037,-14.558333333333332,66.98333333333333,470.725,7.027494401592437,24.79166666666667,5.308333333333334,1.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
