,Link,Team,g,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G1T12014,https://www.sports-reference.com/cfb/schools/air-force/2014.html,Air Force,12,9,0.75,2.2,-4.88,18.4,33.4,55.1,258.4,1.5,395.3,5.7,19.2,4.5,1.4,30.958333333333332,24.216666666666665,9.333333333333334,16.283333333333335,0.5731832139201637,151.31666666666666,1.3,65.46666666666667,272.19166666666666,4.157713849287169,-20.849999999999998,77.35833333333333,423.50833333333327,5.47463104599806,22.275000000000002,3.5416666666666665,1.3250000000000002
G1T22014,https://www.sports-reference.com/cfb/schools/western-michigan/2014.html,Western Michigan,12,8,0.6666666666666666,-1.79,-7.79,17.0,31.6,53.8,216.2,1.4,369.7,5.5,18.9,5.5,1.7,34.61666666666667,23.808333333333334,19.541666666666668,27.816666666666666,0.7025164769322948,264.825,1.9166666666666667,38.75833333333333,178.45000000000002,4.60417114599011,-4.2,67.575,443.38333333333327,6.56135158465902,21.00833333333333,4.991666666666666,1.5416666666666667
G2T12014,https://www.sports-reference.com/cfb/schools/bowling-green-state/2014.html,Bowling Green State,13,7,0.5384615384615384,-6.66,-5.87,25.2,42.0,60.0,291.4,1.8,493.6,6.0,26.1,6.6,2.4,29.76923076923077,33.92307692307692,22.33846153846154,38.95384615384615,0.5734597156398106,251.50769230769225,1.1384615384615384,39.60000000000001,176.23076923076923,4.450271950271949,-7.815384615384615,77.93846153846154,427.7384615384615,5.4881563363600465,22.06153846153846,7.892307692307693,1.6461538461538463
G2T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G14T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G14T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G15T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G15T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G16T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G16T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G17T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G17T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G18T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G18T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G19T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G19T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G21T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G21T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G22T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G22T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G23T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G23T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G24T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G24T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G25T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G25T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G27T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G27T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G28T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G28T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G29T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G30T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G30T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G31T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G31T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G32T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G32T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G33T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G33T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G34T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G34T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G35T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G35T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G36T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G36T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G37T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G37T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G38T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G38T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G39T12014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G39T22014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G8T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G13T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G14T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G14T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G15T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G15T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G16T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G16T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G17T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G17T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G18T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G18T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G19T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G19T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G21T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G21T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G22T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G22T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G23T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G23T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G24T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G24T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G25T12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G25T22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
