,Link,Team,g,Conference,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G1T12017,https://www.sports-reference.com/cfb/schools/boise-state/2017.html,Boise State,13,MWC (Mountain Division),10,0.7692307692307693,8.67,-0.48,20.0,33.6,59.6,212.4,1.2,332.6,4.8,17.9,4.4,1.9,32.07692307692308,22.507692307692306,19.87692307692308,31.261538461538464,0.6358267716535434,254.41538461538465,1.8923076923076922,37.50769230769231,146.24615384615387,3.899097621000821,-6.676923076923076,68.35384615384616,400.66153846153844,5.861580013504388,20.56923076923077,6.046153846153847,0.7384615384615384
G1T22017,https://www.sports-reference.com/cfb/schools/oregon/2017.html,Oregon,12,Pac-12 (North Division),7,0.5833333333333334,4.66,1.89,19.7,35.8,55.1,240.6,1.9,369.2,5.1,20.7,5.3,1.9,36.666666666666664,28.25,14.733333333333333,22.891666666666666,0.6436112122315253,186.30833333333337,1.3499999999999999,49.324999999999996,268.0,5.4333502280790675,-0.558333333333333,72.88333333333334,454.30833333333334,6.233363823462153,22.558333333333334,9.241666666666667,1.7249999999999999
G2T12017,https://www.sports-reference.com/cfb/schools/georgia-state/2017.html,Georgia State,11,Sun Belt,6,0.5454545454545454,-10.66,-9.25,21.3,33.8,63.1,251.4,1.9,387.8,5.8,18.5,5.9,1.4,19.69090909090909,25.50909090909091,22.290909090909096,34.98181818181818,0.6372141372141374,270.2181818181818,1.3272727272727274,37.054545454545455,115.5090909090909,3.1172718351324824,-11.909090909090908,70.78181818181817,385.72727272727275,5.449524788081173,19.799999999999997,5.3090909090909095,1.8727272727272728
G2T22017,https://www.sports-reference.com/cfb/schools/western-kentucky/2017.html,Western Kentucky,12,CUSA (East Division),6,0.5,-10.99,-9.61,17.5,29.8,58.5,206.8,0.8,377.2,5.5,19.2,5.8,1.2,26.208333333333332,26.783333333333335,29.575000000000003,44.76666666666666,0.6606478034251677,333.6666666666667,2.1083333333333334,29.275000000000002,66.03333333333333,2.2556219755194986,1.4666666666666668,75.625,399.70000000000005,5.2852892561983476,23.066666666666666,5.341666666666668,1.7000000000000002
G3T12017,https://www.sports-reference.com/cfb/schools/marshall/2017.html,Marshall,12,CUSA (East Division),7,0.5833333333333334,-1.13,-6.44,18.5,33.2,55.6,220.5,1.4,341.7,5.0,19.2,5.5,1.2,26.341666666666665,19.224999999999998,20.791666666666668,34.275,0.6066131777291516,237.73333333333332,1.8916666666666666,35.03333333333333,132.29166666666666,3.77616555661275,-18.724999999999998,69.22500000000001,370.13333333333327,5.346815938365233,20.599999999999998,6.125,1.7833333333333334
G3T22017,https://www.sports-reference.com/cfb/schools/colorado-state/2017.html,Colorado State,12,MWC (Mountain Division),7,0.5833333333333334,-0.87,-4.95,18.2,32.2,56.7,244.9,1.6,433.5,6.3,21.4,5.6,1.4,33.85,27.533333333333335,21.533333333333335,33.90833333333333,0.6350454657163923,290.31666666666666,2.216666666666667,38.78333333333333,211.48333333333332,5.452943704340353,-3.6666666666666665,74.55,501.79999999999995,6.731052984574111,25.458333333333332,6.466666666666668,1.3
G4T12017,https://www.sports-reference.com/cfb/schools/middle-tennessee-state/2017.html,Middle Tennessee State,12,CUSA (East Division),6,0.5,-6.48,-6.86,20.7,33.5,61.8,223.2,1.4,361.1,5.0,19.6,5.7,0.8,24.708333333333332,24.25833333333333,21.924999999999997,36.516666666666666,0.6004107713372888,252.69166666666663,1.7833333333333334,32.61666666666667,145.45833333333334,4.459632089933572,-8.700000000000001,69.63333333333334,398.0416666666667,5.716251795117281,21.549999999999997,6.208333333333333,1.7000000000000002
G4T22017,https://www.sports-reference.com/cfb/schools/arkansas-state/2017.html,Arkansas State,11,Sun Belt,7,0.6363636363636364,-2.42,-9.92,17.0,33.1,51.4,241.4,1.5,377.5,5.3,19.3,6.9,2.0,38.50909090909091,24.963636363636365,25.890909090909087,41.2,0.6284201235657545,340.76363636363635,3.2181818181818187,36.72727272727273,157.23636363636365,4.281188118811881,-7.927272727272728,79.65454545454544,497.890909090909,6.250627710568364,26.50909090909091,7.872727272727272,2.0181818181818185
G5T12017,https://www.sports-reference.com/cfb/schools/troy/2017.html,Troy,12,Sun Belt,10,0.8333333333333334,3.58,-8.03,20.2,33.6,60.0,231.3,1.5,338.5,4.8,19.0,6.3,2.0,29.958333333333332,17.541666666666668,22.375,35.766666666666666,0.6255824790307549,266.65000000000003,1.2916666666666667,31.541666666666668,150.36666666666667,4.767239101717305,-8.341666666666667,66.61666666666666,417.125,6.261571178383789,20.24166666666667,6.916666666666667,1.4583333333333333
G5T22017,https://www.sports-reference.com/cfb/schools/north-texas/2017.html,North Texas,13,CUSA (West Division),9,0.6923076923076923,-3.6,-4.1,16.6,30.1,55.2,228.9,1.7,431.4,6.0,20.6,5.7,1.1,35.92307692307692,33.84615384615385,22.89230769230769,35.8,0.639449935539321,291.0461538461538,2.2461538461538457,35.47692307692307,177.44615384615383,5.001734605377277,2.769230769230769,73.50769230769232,468.49230769230775,6.373377982419422,24.553846153846152,4.738461538461539,1.6615384615384614
